Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
36780,53.1943,61.8931,70.0927,76.7812,98.4534,51.4653,16.9176,17.1019,15.5864,9.26102,6.16991,14.5096,2.62157,0.10125,0.18325,96.8005,96.72
36720,52.7068,63.1146,69.4453,75.9206,97.7755,52.1179,16.9631,17.0811,15.4614,9.23547,6.11613,14.6832,2.67684,-0.13075,0.54,96.8005,96.72
36660,54.251,64.1476,68.9778,75.2405,97.2323,52.6806,16.9015,17.0622,15.4012,9.348,6.1404,14.346,2.57272,-0.0355,-0.0935,96.8005,96.72
36600,54.2385,61.6139,70.1601,76.7955,98.4666,51.3351,16.8693,17.1068,15.6207,9.22251,6.16531,14.2647,2.56744,0.18725,-0.30375,96.8005,96.72
36540,54.7919,64.0866,69.3602,75.7343,97.6051,52.6513,16.9087,17.0599,15.4441,9.34787,6.17393,14.4897,2.58951,-0.0595,0.19225,96.8005,96.72
36480,55.5227,64.6863,69.268,75.6379,97.5387,52.9599,16.8818,17.0554,15.4353,9.36876,6.18544,14.3539,2.54705,-0.13925,-0.07425,97.0142,96.4237
36420,55.2362,61.1139,69.5971,76.1345,97.9484,51.0398,16.8886,17.0724,15.5185,9.43576,6.21935,14.3676,2.53665,0.30325,-0.03275,97.0142,96.4237
36360,55.2678,64.0871,69.6987,76.3169,98.0996,52.6162,16.8822,17.0794,15.5185,9.27884,6.1728,14.3501,2.56081,-0.326521,-0.132,97.0142,96.4237
36300,54.0439,63.1677,68.4594,74.6329,96.7675,52.1225,16.9328,17.0323,15.325,9.37095,6.06914,14.5486,2.62912,0.163719,0.2765,97.0142,96.4237
36240,53.5807,61.4347,69.572,76.127,97.9434,51.2056,16.8766,17.075,15.5265,9.36399,6.17813,14.3061,2.5379,0.2705,-0.19925,97.0142,96.4237
36180,53.6303,62.175,69.531,76.0862,97.9182,51.5982,16.8906,17.0783,15.5328,9.15126,6.08665,14.3917,2.61346,-0.369906,-0.11875,96.8936,96.3411
36120,55.2395,61.4406,69.3629,75.837,97.7178,51.2133,16.9075,17.073,15.478,9.35907,6.17178,14.4053,2.56349,0.21375,0.029,96.8936,96.3411
36060,53.2408,61.5798,70.4064,77.2316,98.8244,51.2939,16.9361,17.117,15.6321,9.22042,6.1821,14.6015,2.6547,-0.03575,0.35625,96.8936,96.3411
36000,54.5036,63.4133,69.3869,75.8335,97.7018,52.2718,16.8235,17.0677,15.4988,9.40152,6.18612,14.0396,2.47094,0.28625,-0.738,96.8936,96.3411
35940,55.0973,62.1275,69.8124,76.4289,98.1856,51.5825,16.9083,17.0908,15.5371,9.38661,6.22244,14.4219,2.57292,0.07475,0.0685,96.8936,96.3411
35880,54.4087,60.9284,69.3921,75.852,97.7149,50.9452,16.8924,17.0685,15.5036,9.28828,6.1415,14.3846,2.57466,0.1325,-0.055,96.8247,96.2509
35820,53.8608,61.7097,69.4996,75.9948,97.825,51.3599,16.8447,17.0737,15.5446,9.23644,6.13374,14.1622,2.53102,-0.153,-0.53325,96.8247,96.2509
35760,54.6435,61.4055,69.9982,76.7004,98.3941,51.1965,16.8998,17.1049,15.5829,9.38396,6.23293,14.3509,2.55411,-0.02275,-0.08275,96.8247,96.2509
35700,55.1976,63.5279,69.7518,76.3294,98.1016,52.3415,16.9452,17.1031,15.4909,9.39782,6.22138,14.5115,2.59985,0.0895,0.27525,96.8247,96.2509
35640,54.7641,63.252,69.4271,75.8058,97.6759,52.2123,16.9333,17.0881,15.4609,9.30243,6.15144,14.4783,2.62457,0.1455,0.173,96.8247,96.2509
35580,53.9298,62.8037,68.9366,75.0936,97.0808,51.9873,16.9221,17.051,15.3996,9.373,6.14937,14.4971,2.61142,-0.0065,0.22175,96.5852,96.516
35520,54.7362,61.3961,69.7437,76.1781,97.9582,51.2317,16.8956,17.0848,15.5474,9.34341,6.25898,14.3825,2.58581,0.007,0.128979,96.5852,96.516
35460,54.3108,63.5111,69.3797,75.7256,97.5887,52.3483,16.9322,17.055,15.4423,9.34742,6.17782,14.6313,2.62755,-0.08925,0.5005,96.5852,96.516
35400,55.3381,60.9744,69.0607,75.3733,97.3221,50.9747,16.9281,17.0427,15.4267,9.41101,6.17893,14.5898,2.59706,0.0705,0.41925,96.5852,96.516
35340,53.5643,62.692,69.655,76.2411,98.034,51.8773,16.892,17.0797,15.5212,9.28116,6.14159,14.3977,2.57809,0.177619,-0.0545,96.5852,96.516
35280,53.7139,62.9696,68.7288,74.9851,97.0357,52.0243,16.9255,17.0437,15.368,9.33099,6.08301,14.5207,2.61386,0.157708,0.213,96.8851,96.5026
35220,53.528,62.5092,69.3229,75.7738,97.6675,51.7861,16.9077,17.0733,15.4792,9.24881,6.11618,14.4255,2.60253,-0.112808,0.01,96.8851,96.5026
35160,53.8035,63.1495,69.5997,76.1307,97.9496,52.1344,16.9386,17.086,15.4841,9.37914,6.1902,14.5508,2.61779,0.13125,0.31725,96.8851,96.5026
35100,54.2527,62.641,70.478,77.3077,98.8905,51.868,16.9061,17.1257,15.6404,9.2298,6.19948,14.4184,2.60015,-0.0365,-0.00025,96.8851,96.5026
35040,54.3163,60.5622,68.8763,75.1002,97.1193,50.7598,16.9433,17.0467,15.3834,9.55826,6.19737,14.5788,2.58888,0.82475,0.44275,96.8851,96.5026
34980,55.4698,64.2915,70.1479,76.8615,98.5272,52.7476,16.8852,17.1007,15.5726,9.41062,6.27209,14.3315,2.53982,-0.24775,-0.10325,96.8454,96.1477
34920,53.6936,61.1337,69.7977,76.3891,98.1618,51.0522,16.8889,17.0848,15.57,9.23072,6.14438,14.3915,2.5939,0.05375,-0.05925,96.8454,96.1477
34860,54.934,63.3503,69.651,76.2428,98.0378,52.2241,16.8655,17.0729,15.5085,9.47563,6.23923,14.2634,2.50123,0.293,-0.25175,96.8454,96.1477
34800,54.2443,64.953,69.4076,75.9527,97.826,53.0695,16.9409,17.073,15.4152,9.52449,6.19571,14.5735,2.59776,0.553193,0.377,96.8454,96.1477
34740,54.4698,60.9766,69.9474,76.6522,98.3869,50.9549,16.9397,17.0982,15.5701,9.32961,6.20739,14.5772,2.62995,-0.203897,0.36975,96.8454,96.1477
34680,54.9462,62.7824,69.1379,75.5488,97.4884,51.9211,16.9001,17.0551,15.4521,9.22805,6.12407,14.434,2.59452,-0.481,0.03725,96.7723,96.209
34620,54.6316,60.6418,69.837,76.525,98.2678,50.7745,16.8717,17.0886,15.5913,9.34744,6.21075,14.2742,2.53441,-0.268626,-0.27525,96.7723,96.209
34560,54.3274,62.501,68.6532,74.9008,96.9782,51.7704,16.9102,17.0424,15.381,9.2146,6.06839,14.4389,2.60738,-0.24025,0.03375,96.7723,96.209
34500,54.5499,61.7104,69.3216,75.7785,97.6769,51.355,16.9168,17.0734,15.4923,9.16186,6.103,14.4736,2.63259,-0.4435,0.101,96.7723,96.209
34440,53.5488,63.7673,70.014,76.7036,98.4042,52.4588,16.864,17.1003,15.5814,9.2158,6.16052,14.2431,2.55656,-0.094,-0.37725,96.7723,96.209
34380,52.8253,61.4443,69.0313,75.3524,97.3305,51.2232,16.9422,17.0608,15.4383,9.20126,6.07859,14.5965,2.66848,-0.14725,0.352,96.8094,96.233
34320,54.8919,63.0136,70.0143,76.6629,98.3667,52.0658,16.9291,17.0991,15.562,9.17697,6.16279,14.5615,2.64971,-0.374,0.29275,96.8094,96.233
34260,54.1996,62.8694,69.7817,76.3468,98.1076,51.9844,16.8821,17.0822,15.5347,9.30337,6.1748,14.3556,2.56851,0.2805,-0.10675,96.8094,96.233
34200,54.1257,62.7969,70.046,76.7593,98.4388,51.9363,16.8935,17.097,15.565,9.33423,6.20204,14.3922,2.56367,0.3415,-0.036,96.8094,96.233
34140,53.0871,61.22,70.468,77.3441,98.9168,51.0974,16.9029,17.1257,15.6678,9.24964,6.20095,14.4047,2.60411,-0.10375,-0.046,96.8094,96.233
34080,53.4057,64.1815,70.196,76.929,98.5861,52.6849,16.8655,17.118,15.6019,9.26775,6.18636,14.1944,2.55509,0.09475,-0.463,96.6222,96.3663
34020,55.0103,60.3007,69.512,75.9519,97.7825,50.6273,16.9092,17.0766,15.5111,9.45428,6.22788,14.4169,2.56436,0.24625,0.09075,96.6222,96.3663
33960,53.7747,61.4335,69.5386,75.9826,97.8081,51.2306,16.9115,17.0779,15.5354,9.20293,6.14085,14.4746,2.63829,-0.643,0.11625,96.6222,96.3663
33900,54.5817,62.1613,68.9742,75.222,97.1977,51.6192,16.88,17.0524,15.4339,9.35277,6.14954,14.2947,2.55078,-0.0045,-0.20525,96.6222,96.3663
33840,54.0253,63.5493,69.6252,76.1082,97.9155,52.3587,16.8941,17.0873,15.5035,9.33998,6.1841,14.338,2.57063,0.082,-0.11875,96.6222,96.3663
33780,54.9528,61.6917,68.8313,75.0056,97.0246,51.3729,16.8914,17.045,15.4192,9.39786,6.17055,14.3443,2.56423,-0.2835,-0.07875,96.7341,96.1728
33720,52.6974,64.7055,69.6806,76.1754,97.9629,52.9816,16.9401,17.0838,15.4733,9.34399,6.17334,14.6052,2.64404,0.21325,0.4035,96.7341,96.1728
33660,52.7118,62.0641,69.4622,75.8545,97.7116,51.5697,16.8739,17.0717,15.5178,9.26224,6.13649,14.3027,2.57895,0.00775,-0.22325,96.7341,96.1728
33600,53.9814,63.0063,70.5733,77.4047,98.9496,52.0634,16.8786,17.1166,15.6469,9.3823,6.26808,14.3311,2.54874,0.254,-0.1235,96.7341,96.1728
33540,55.1518,63.7875,69.7624,76.3488,98.1042,52.4706,16.8578,17.0784,15.5314,9.42176,6.23823,14.2309,2.50816,0.01075,-0.329,96.7341,96.1728
33480,54.2286,62.2341,70.2949,77.1218,98.7494,51.631,16.9273,17.1168,15.5988,9.41175,6.2611,14.492,2.5912,0.115,0.20825,96.6864,96.1864
